ID,Project,Department name,Department code,Owner,Close date,Usage Date,Wallclock,Units,Rate,Cost,Account
1103,,eddy,093203,coventrya,09-30-2006,09-06-2006,3327,1,0.11,0.10,51612
1104,,eddy,093203,coventrya,09-30-2006,09-08-2006,35951,10,0.11,1.10,51612
1105,,eddy,093203,coventrya,09-30-2006,09-20-2006,93954,26,0.11,2.87,51612
1106,,eddy,093203,coventrya,09-30-2006,09-22-2006,155,0,0.11,0.00,51612
1107,,eddy,093203,coventrya,09-30-2006,09-27-2006,2725888,757,0.11,83.29,51612
1108,,eddy,093203,coventrya,09-30-2006,09-28-2006,12308059,3419,0.11,376.08,51612
1109,,eddy,093203,coventrya,09-30-2006,09-29-2006,10668470,2963,0.11,325.98,51612
1110,,eddy,093203,kolbed,09-30-2006,09-01-2006,10498151,2916,0.11,320.78,51612
1111,,eddy,093203,kolbed,09-30-2006,09-02-2006,57144233,15873,0.11,1746.07,51612
1112,,eddy,093203,kolbed,09-30-2006,09-03-2006,8259166,2294,0.11,252.36,51612
1113,,eddy,093203,kolbed,09-30-2006,09-04-2006,655692,182,0.11,20.04,51612
1114,,eddy,093203,kolbed,09-30-2006,09-05-2006,12801801,3556,0.11,391.17,51612
1115,,eddy,093203,kolbed,09-30-2006,09-06-2006,65204144,18112,0.11,1992.35,51612
1116,,eddy,093203,kolbed,09-30-2006,09-07-2006,42364630,11768,0.11,1294.47,51612
1128,,myers,093201,swidanf,10-31-2006,10-29-2006,1570,0,0.11,0.05,51612
1129,,myers,093201,swidanf,10-31-2006,10-30-2006,625,0,0.11,0.02,51612
1130,,eddy,093203,coventrya,10-31-2006,10-17-2006,4313260,1198,0.11,131.79,51612
1131,,eddy,093203,coventrya,10-31-2006,10-18-2006,2148508,597,0.11,65.65,51612
1132,,eddy,093203,coventrya,10-31-2006,10-23-2006,818169,227,0.11,25.00,51612
1133,,eddy,093203,coventrya,10-31-2006,10-25-2006,7047707,1958,0.11,215.35,51612
1134,,eddy,093203,coventrya,10-31-2006,10-26-2006,5120927,1422,0.11,156.47,51612
1135,,eddy,093203,coventrya,10-31-2006,10-27-2006,613523,170,0.11,18.75,51612
1136,,eddy,093203,jungs,10-31-2006,10-12-2006,53754,15,0.11,1.64,51612
1137,,eddy,093203,jungs,10-31-2006,10-13-2006,141431,39,0.11,4.32,51612
1138,,eddy,093203,jungs,10-31-2006,10-14-2006,1128494,313,0.11,34.48,51612
1139,,eddy,093203,jungs,10-31-2006,10-15-2006,3089997,858,0.11,94.42,51612
1140,,eddy,093203,jungs,10-31-2006,10-16-2006,9924311,2757,0.11,303.24,51612
1141,,eddy,093203,jungs,10-31-2006,10-17-2006,26064351,7240,0.11,796.41,51612
1142,,eddy,093203,jungs,10-31-2006,10-18-2006,25411894,7059,0.11,776.47,51612
1143,,eddy,093203,jungs,10-31-2006,10-19-2006,22982148,6384,0.11,702.23,51612
1144,,eddy,093203,jungs,10-31-2006,10-20-2006,23948181,6652,0.11,731.75,51612
1145,,eddy,093203,jungs,10-31-2006,10-21-2006,14749144,4097,0.11,450.67,51612
1146,,eddy,093203,jungs,10-31-2006,10-22-2006,8993346,2498,0.11,274.80,51612
1147,,eddy,093203,jungs,10-31-2006,10-23-2006,15359880,4267,0.11,469.33,51612
1148,,eddy,093203,jungs,10-31-2006,10-24-2006,12950808,3597,0.11,395.72,51612
1149,,eddy,093203,jungs,10-31-2006,10-25-2006,23825542,6618,0.11,728.00,51612
1150,,eddy,093203,jungs,10-31-2006,10-26-2006,33911779,9420,0.11,1036.19,51612
