Date,Dept,DeptCode,Subject,Units,rate
10/1/2006,Eddy,093203,Primary storage (TB),2,624
11/1/2006,Eddy,093203,Primary storage (TB),2,624
11/1/2006,Betzig,093202,Primary storage (TB),1,624
12/1/2006,Eddy,093203,Primary storage (TB),2,624
12/1/2006,Betzig,093202,Primary storage (TB),1,624
1/1/2007,Eddy,093203,Primary storage (TB),2,624
1/1/2007,Betzig,093202,Primary storage (TB),1,624
2/1/2007,Eddy,093203,Primary storage (TB),2,624
2/1/2007,Betzig,093202,Primary storage (TB),1,624
3/1/2007,Eddy,093203,Primary storage (TB),2,624
3/1/2007,Betzig,093202,Primary storage (TB),1,624
4/1/2007,Eddy,093203,Primary storage (TB),2,624
4/1/2007,Betzig,093202,Primary storage (TB),1,624
5/1/2007,Eddy,093203,Primary storage (TB),2,624
5/1/2007,Betzig,093202,Primary storage (TB),1,624
5/1/2007,Rubin,093205,Primary storage (TB),1,624
6/1/2007,Eddy,093203,Primary storage (TB),2,624
6/1/2007,Betzig,093202,Primary storage (TB),1,624
6/1/2007,Rubin,093205,Primary storage (TB),1,624
6/1/2007,Myers,093201,Primary storage (TB),1,624
7/1/2007,Eddy,093203,Primary storage (TB),2,624
7/1/2007,Betzig,093202,Primary storage (TB),1,624
7/1/2007,Rubin,093205,Primary storage (TB),1,624
7/1/2007,Myers,093201,Primary storage (TB),1,624
8/1/2007,Eddy,093203,Primary storage (TB),2,624
8/1/2007,Betzig,093202,Primary storage (TB),1,624
8/1/2007,Rubin,093205,Primary storage (TB),1,624
8/1/2007,Myers,093201,Primary storage (TB),1,624
9/1/2007,Eddy,093203,Primary storage (TB),2,624
9/1/2007,Betzig,093202,Primary storage (TB),3,624
9/1/2007,Rubin,093205,Primary storage (TB),4,624
9/1/2007,Svoboda,093204,Primary storage (TB),1,624
9/1/2007,Myers,093201,Primary storage (TB),1,624
9/1/2007,Simpson,093210,Primary storage (TB),1,624
9/1/2007,Hess,093298,Primary storage (TB),1,624
10/1/2007,Eddy,093203,Primary storage (TB),2,624
10/1/2007,Betzig,093202,Primary storage (TB),3,624
10/1/2007,Rubin,093205,Primary storage (TB),4,624
10/1/2007,Svoboda,093204,Primary storage (TB),1,624
10/1/2007,Myers,093201,Primary storage (TB),1,624
10/1/2007,Simpson,093210,Primary storage (TB),1,624
