date,code,fte,subject,hours,rate
10/31/2008,93010,0.25,AIRI Presidents Survey,40,75
01/30/2009,93205,0.1433,Annotation Database,40,75
01/30/2009,93210,0.1433,Annotation Database,40,75
01/30/2009,93212,0.1433,Annotation Database,40,75
12/19/2008,93205,0.3833,Annotation Database,40,75
12/19/2008,93210,0.3833,Annotation Database,40,75
12/19/2008,93212,0.3833,Annotation Database,40,75
11/21/2008,93205,0.3833,Annotation Database,40,75
11/21/2008,93210,0.3833,Annotation Database,40,75
11/21/2008,93212,0.3833,Annotation Database,40,75
10/31/2008,93205,0.0166,Annotation Database,40,75
10/31/2008,93210,0.0166,Annotation Database,40,75
10/31/2008,93212,0.0166,Annotation Database,40,75
9/26/2008,93205,0.10,Annotation Database,40,75
9/26/2008,93210,0.10,Annotation Database,40,75
9/26/2008,93212,0.10,Annotation Database,40,75
8/22/2008,93205,0.15,Annotation Database,40,75
8/22/2008,93210,0.15,Annotation Database,40,75
8/22/2008,93212,0.15,Annotation Database,40,75
7/25/2008,93205,0.10,Annotation Database,40,75
7/25/2008,93210,0.10,Annotation Database,40,75
7/25/2008,93212,0.10,Annotation Database,40,75
6/27/2008,93205,0.05,Annotation Database,40,75
6/27/2008,93210,0.05,Annotation Database,40,75
6/27/2008,93212,0.05,Annotation Database,40,75
5/30/2008,93205,0.23,Annotation Database,40,75
5/30/2008,93210,0.23,Annotation Database,40,75
5/30/2008,93212,0.23,Annotation Database,40,75
4/25/2008,93205,0.40,Annotation Database,40,75
4/25/2008,93210,0.40,Annotation Database,40,75
4/25/2008,93212,0.40,Annotation Database,40,75
3/28/2008,93205,0.92,Annotation Database,40,75
3/28/2008,93210,0.92,Annotation Database,40,75
3/28/2008,93212,0.92,Annotation Database,40,75
2/22/2008,93205,1.22,Annotation Database,40,75
2/22/2008,93210,1.22,Annotation Database,40,75
2/22/2008,93212,1.22,Annotation Database,40,75
1/25/2008,93205,1.05,Annotation Database,40,65
1/25/2008,93210,1.05,Annotation Database,40,65
1/25/2008,93212,1.05,Annotation Database,40,65
12/21/2007,93205,1.10,Annotation Database,40,65
12/21/2007,93210,1.10,Annotation Database,40,65
12/21/2007,93212,1.10,Annotation Database,40,65
11/30/2007,93205,0.12,Annotation Database,40,65
11/30/2007,93210,0.12,Annotation Database,40,65
11/30/2007,93212,0.12,Annotation Database,40,65
12/19/2008,93400,0.40,Antibody Lab,40,75,JVS005100
11/21/2008,93400,0.10,Antibody Lab,40,75,JVS005100
10/31/2008,93400,0.20,Antibody Lab,40,75,JVS005100
01/30/2009,93205,0.02,Apollo,40,75
8/22/2008,93205,0.20,Apollo,40,75
3/28/2008,93205,0.05,Apollo,40,75
3/30/2007,93210,.2,Arnim's Neuroanatomy site,40,65
8/22/2008,93303,0.25,Augmented DAQ Toolbox,40,75
8/22/2008,93092,0.50,Automated Sequence Transfer,40,75
7/25/2008,93092,0.25,Automated Sequence Transfer,40,75
02/27/2009,93215,0.05,Baker Image Management,40,75
11/21/2008,93215,0.85,Baker Image Management,40,75
10/31/2008,93215,1.10,Baker Image Management,40,75
9/26/2008,93215,0.20,Baker Image Management,40,75
5/30/2008,93202,0.10,Betzig Lab Projects,40,75
11/30/2006,93092,0.2,BioInfo Apps,40,65
