ID,Project,Department name,Department code,Close date,Subject,Units,Rate,Cost,Account
1,,eddy,093203,10-01-2006,Primary storage (TB),2.0,624,1248.00,51610
2,,eddy,093203,11-01-2006,Primary storage (TB),2.0,624,1248.00,51610
3,,betzig,093202,11-01-2006,Primary storage (TB),1.0,624,624.00,51610
4,,eddy,093203,12-01-2006,Primary storage (TB),2.0,624,1248.00,51610
5,,betzig,093202,12-01-2006,Primary storage (TB),1.0,624,624.00,51610
6,,eddy,093203,01-01-2007,Primary storage (TB),2.0,624,1248.00,51610
7,,betzig,093202,01-01-2007,Primary storage (TB),1.0,624,624.00,51610
8,,eddy,093203,02-01-2007,Primary storage (TB),2.0,624,1248.00,51610
9,,betzig,093202,02-01-2007,Primary storage (TB),1.0,624,624.00,51610
10,,eddy,093203,03-01-2007,Primary storage (TB),2.0,624,1248.00,51610
11,,betzig,093202,03-01-2007,Primary storage (TB),1.0,624,624.00,51610
12,,eddy,093203,04-01-2007,Primary storage (TB),2.0,624,1248.00,51610
13,,betzig,093202,04-01-2007,Primary storage (TB),1.0,624,624.00,51610
14,,eddy,093203,05-01-2007,Primary storage (TB),2.0,624,1248.00,51610
15,,betzig,093202,05-01-2007,Primary storage (TB),1.0,624,624.00,51610
16,,rubin,093205,05-01-2007,Primary storage (TB),1.0,624,624.00,51610
17,,eddy,093203,06-01-2007,Primary storage (TB),2.0,624,1248.00,51610
18,,betzig,093202,06-01-2007,Primary storage (TB),1.0,624,624.00,51610
19,,rubin,093205,06-01-2007,Primary storage (TB),1.0,624,624.00,51610
20,,myers,093201,06-01-2007,Primary storage (TB),1.0,624,624.00,51610
21,,eddy,093203,07-01-2007,Primary storage (TB),2.0,624,1248.00,51610
22,,betzig,093202,07-01-2007,Primary storage (TB),1.0,624,624.00,51610
23,,rubin,093205,07-01-2007,Primary storage (TB),1.0,624,624.00,51610
24,,myers,093201,07-01-2007,Primary storage (TB),1.0,624,624.00,51610
25,,eddy,093203,08-01-2007,Primary storage (TB),2.0,624,1248.00,51610
26,,betzig,093202,08-01-2007,Primary storage (TB),1.0,624,624.00,51610
27,,rubin,093205,08-01-2007,Primary storage (TB),1.0,624,624.00,51610
28,,myers,093201,08-01-2007,Primary storage (TB),1.0,624,624.00,51610
29,,eddy,093203,09-01-2007,Primary storage (TB),2.0,624,1248.00,51610
30,,betzig,093202,09-01-2007,Primary storage (TB),3.0,624,1872.00,51610
31,,rubin,093205,09-01-2007,Primary storage (TB),4.0,624,2496.00,51610
32,,svoboda,093204,09-01-2007,Primary storage (TB),1.0,624,624.00,51610
33,,myers,093201,09-01-2007,Primary storage (TB),1.0,624,624.00,51610
34,,simpson,093210,09-01-2007,Primary storage (TB),1.0,624,624.00,51610
35,,harris,093298,09-01-2007,Primary storage (TB),1.0,624,624.00,51610
36,,eddy,093203,10-01-2007,Primary storage (TB),2.0,624,1248.00,51610
37,,betzig,093202,10-01-2007,Primary storage (TB),3.0,624,1872.00,51610
38,,rubin,093205,10-01-2007,Primary storage (TB),4.0,624,2496.00,51610
39,,svoboda,093204,10-01-2007,Primary storage (TB),1.0,624,624.00,51610
40,,myers,093201,10-01-2007,Primary storage (TB),1.0,624,624.00,51610
41,,simpson,093210,10-01-2007,Primary storage (TB),1.0,624,624.00,51610
42,,harris,093298,10-01-2007,Primary storage (TB),1.0,624,624.00,51610
43,,eddy,093203,11-01-2007,Primary storage (TB),2.0,624,1248.00,51610
44,,betzig,093202,11-01-2007,Primary storage (TB),5.0,624,3120.00,51610
45,,rubin,093205,11-01-2007,Primary storage (TB),4.0,624,2496.00,51610
46,,svoboda,093204,11-01-2007,Primary storage (TB),1.0,624,624.00,51610
47,,myers,093201,11-01-2007,Primary storage (TB),1.0,624,624.00,51610
48,,simpson,093210,11-01-2007,Primary storage (TB),1.0,624,624.00,51610
49,,harris,093298,11-01-2007,Primary storage (TB),1.0,624,624.00,51610
50,,peng,093309,11-01-2007,Primary storage (TB),1.0,624,624.00,51610
51,,eddy,093203,12-01-2007,Primary storage (TB),2.0,624,1248.00,51610
52,,betzig,093202,12-01-2007,Primary storage (TB),5.0,624,3120.00,51610
53,,rubin,093205,12-01-2007,Primary storage (TB),4.0,624,2496.00,51610
54,,svoboda,093204,12-01-2007,Primary storage (TB),1.0,624,624.00,51610
55,,myers,093201,12-01-2007,Primary storage (TB),1.0,624,624.00,51610
56,,simpson,093210,12-01-2007,Primary storage (TB),1.0,624,624.00,51610
57,,harris,093298,12-01-2007,Primary storage (TB),1.0,624,624.00,51610
