Ticket Id,Project,Department code,Shared resource,Owner,Close date,Tech,Units,Cost,Subject,Question,Problem type,Tech note,Account
22,,093203,Molecular Biology,client,07-07-2006,mcgowank,1,600.00,Sequence the Jackalope,,Single Pass,,51602
36,,093070,Molecular Biology,georger,12-05-2006,mcgowank,0,0,vector construction Test,,Vector Construction,,51602
37,,093070,Media Facility,georger,02-16-2007,lavertyt,1,18.00,fly food test,I need 3 trays of food,Vials,,51609
39,,093205,Molecular Biology,pfeifferb,01-05-2007,mcgowank,24,120,sequencing request Oct 2 2006,Please find attached a copy of your sequencing request. We will perform 24 reactions using 12 templates and two custom primers. ,Single Pass,,51602
40,,093204,Media Facility,oconnord,10-02-2006,lavertyt,1,102,Amp and Kan plates,3 sleeves Amp plates  3 sleeves Kan plates,Bacterial Plates,,51609
41,,093205,Molecular Biology,pfeifferb,01-05-2007,mcgowank,57,285,Seq request,,Single Pass,,51602
42,,093205,Molecular Biology,pfeifferb,01-05-2007,mcgowank,16,80,complete this form,Barret please complete this form for sequencing request    SIncerely  Czar of Ashburn,Single Pass,,51602
45,,093204,Media Facility,maot,01-11-2007,lavertyt,1,54.00,Amp plates,ordered 3 sleeves,Other,,51609
46,,093205,Media Facility,ngot,01-11-2007,lavertyt,1,13.75,,1 10X PBS,Custom,,51609
47,,093095,Cell Culture Facility,murphyd,01-11-2007,arnolda,1,12,training-zeiss 510,,Cell Culture Facility,,51604
48,,093204,Media Facility,grayn,12-05-2006,lavertyt,4,23,Mediatech items,SOC  TAE  Molecular grade water  100ml,Mediatech,,51609
50,,093205,Media Facility,pfeifferb,12-05-2006,lavertyt,5,17,,100 plates each at standard [ ],Ampicillin,,51609
51,,093205,Media Facility,pfeifferb,12-05-2006,lavertyt,2,18,,LB  1L,Mediatech,,51609
54,,093204,Media Facility,satot,12-05-2006,lavertyt,1,9,,LB  1 liter,Mediatech,,51609
57,,093070,Instrument Development,georger,01-03-2007,bassins,1,1600,Rotor stand (ITEM),Build rotor stand,Instrument Development,32hours @ $50/hr = $1600  Matls = 0,51607
58,,093298,Instrument Development,hessh,01-03-2007,bassins,4,75,Actuator ,Needs two brackets and two rotating blades.,Instrument Development,1.5hours @ $50 = $75  Material + 0,51607
60,,093601,Instrument Development,albins,01-11-2007,bassins,1,0,Fabricate a shelf.,Fabricate a shelf.,Instrument Development,,51607
61,,093207,Instrument Development,mageej,01-03-2007,bassins,15,1600,Design & Fabrication,Help to design and fabricate a full assembly of a microscope staging.,Instrument Development,40hours @ $50 = $1600  Material Cost = 0  ,51607
62,,093204,Instrument Development,flickingerd,01-03-2007,bassins,2,400,InVivo Top Cover and InVivoDet Arm  Cover,Needs one of each fabricated.,Instrument Development,8hours @ $50/Hr = $400  Cost of materials = 0,51607
63,,093070,Instrument Development,georger,10-02-2007,osbornej,1,0,Rotor stand (ITEM),Need to fabricate four stands.,Instrument Development,,51607
64,,093306,Instrument Development,rinbergd,01-03-2007,bassins,1,800,Foot stool,Design and fabricate one assembly.,Instrument Development,Completed design and fabration of one platform.  16 Hours @ $50 = $800,51607
65,,093306,Instrument Development,rinbergd,01-03-2007,bassins,6,3245,Design & Fabrication,Fabricate one bottom dovetail block and two gib slides.  Fabricate two dovetail locking clamps.    ,Instrument Development,Completed drawings.  55hours @ $59/Hr = $3245,51607
66,,093205,Media Facility,murphyc,12-05-2006,lavertyt,2,22,TE and water,1L TE  1L Water,Mediatech,,51609
67,,093204,Instrument Development,grayn,01-03-2007,bassins,2,50,Rail to be machined.,Rail where provided by customer and had verbal instructions on machining.,Instrument Development,1Hour @ $50/Hr = $50  Material cost = 0,51607
68,,093207,Instrument Development,mageej,01-03-2007,bassins,1,200,Plate,Fabricate plate.,Instrument Development,4 Hours @ $50/Hr + @200  Material cost =0,51607
69,,093202,Instrument Development,betzige,01-03-2007,bassins,65,1652,Fabrication of multi Items.,Multi parts,Instrument Development,Received final parts back from Almag.  28Hours @ $59/Hr = $1652  ,51607
70,,093202,Instrument Development,betzige,01-03-2007,bassins,54,118,Multiple parts to be fabricated.,Multiple parts to be fabricated.,Instrument Development,Fabrication completed.  2hours @ $59 = $118  ,51607
71,,093209,Media Facility,marvinj,12-05-2006,lavertyt,17,162.39,Mediatech items,,Mediatech,,51609
73,,093209,Media Facility,marvinj,12-05-2006,lavertyt,12,204,Amp plates,1 sleeve,Ampicillin,,51609
76,,093210,Histology/anatomy Facility,chungp,12-13-2006,arnolda,1,45,Training on Multitime,Phuong would like to be trinaed on how to use Multitime on LSM,Histology/anatomy Facility,,51605
77,,093207,Instrument Development,mageej,01-03-2007,bassins,2,944,Zoom Lens Adapter,Need to fabricate two parts.,Instrument Development,Fabrication completed.  16hours @ $59 = $944,51607
78,,093209,Media Facility,marvinj,11-06-2006,lavertyt,6,54,,6 L LB,Mediatech,,51609
79,,093204,Media Facility,harveyc,12-05-2006,lavertyt,3,27,LB,3L LB,Mediatech,,51609
80,,093205,Media Facility,pfeifferb,12-05-2006,lavertyt,3,22.33,Mediatech items,2 L  LB  100ml water,Mediatech,,51609
